iter	Passed	Remaining
0	9755	1160904
1	19082	1125894
2	28199	1099780
3	40421	1172223
4	51315	1180258
5	61395	1166516
6	80824	1304741
7	92015	1288221
8	102281	1261468
9	113446	1247913
