iter	Logloss
0	0.6605160942
1	0.631568858
2	0.6063017211
3	0.5846169216
4	0.5636809682
5	0.5450147739
6	0.5286477194
7	0.5146757217
8	0.5006320646
9	0.4886493394
10	0.4783935773
11	0.4690243294
12	0.4609777576
13	0.4537193205
14	0.4467162024
15	0.4399860289
16	0.4346391871
17	0.4293942933
18	0.4251082939
19	0.4211008529
20	0.4175345725
21	0.4141239369
22	0.4107485862
23	0.4078811187
24	0.405094115
25	0.4025491281
26	0.4000889073
27	0.3978707635
28	0.3963167591
29	0.3946333666
30	0.3932070777
31	0.3916158876
32	0.3902610978
33	0.3889391748
34	0.3879233102
35	0.3867118635
36	0.385890767
37	0.3848835031
38	0.3839879502
39	0.3831731792
40	0.3824049492
41	0.3817354218
42	0.3811020778
43	0.3804877163
44	0.3798979859
45	0.3795005994
46	0.3791248287
47	0.3786566687
48	0.3781815668
49	0.3777883046
50	0.3775413733
51	0.3772899042
52	0.3769032518
53	0.3766305075
54	0.3764617655
55	0.3761893059
56	0.3758712428
57	0.3756400704
58	0.3754612233
59	0.3752308419
60	0.3750507876
61	0.374841442
62	0.3746634151
63	0.3744799556
64	0.3742841353
65	0.3741686935
66	0.3740553908
67	0.373876684
68	0.3737281056
69	0.3736513806
70	0.3735346447
71	0.3734211821
72	0.3732804112
73	0.3731571662
74	0.3730796823
75	0.3729601249
76	0.372875636
77	0.3727791452
78	0.3726874328
79	0.3726143165
80	0.3725364985
81	0.3724917041
82	0.3724235426
83	0.3723501038
84	0.3722639838
85	0.372202413
86	0.3721364475
87	0.3721000727
88	0.3720348829
89	0.3719933283
90	0.3719646612
91	0.3719106093
92	0.3718693245
93	0.3718023034
94	0.3717676714
95	0.3717107031
96	0.3716379139
97	0.3716190469
98	0.3715802319
99	0.3715556817
100	0.3715072341
101	0.3714617525
102	0.3714154303
103	0.3713758729
104	0.3713395771
105	0.3713059437
106	0.3712670987
107	0.371237166
108	0.3712010527
109	0.3711580525
110	0.371116681
111	0.371080133
112	0.371067027
113	0.3710364838
114	0.3710068459
115	0.3709683385
116	0.3709349917
117	0.3709257047
118	0.3708869272
119	0.3708552622
120	0.3708274859
121	0.3708052293
122	0.3707875053
123	0.3707684277
124	0.3707458076
125	0.3707270575
126	0.3707043226
127	0.3706561425
128	0.3706320096
129	0.370603925
130	0.3705879579
131	0.3705630688
132	0.3705403891
133	0.3705259236
134	0.3705059417
135	0.3704769067
136	0.3704507933
137	0.3704320609
138	0.3703984886
139	0.3703804959
140	0.3703485012
141	0.3703190542
142	0.3703031428
143	0.3702846365
144	0.3702612365
145	0.370231555
146	0.3702102499
147	0.3701989534
148	0.3701738568
149	0.3701367276
150	0.3701211998
151	0.3701004819
152	0.3700839958
153	0.3700719315
154	0.3700541007
155	0.3700312976
156	0.3700169994
157	0.3699962851
158	0.3699818842
159	0.3699516386
160	0.3699334065
161	0.3699186066
162	0.3698985339
163	0.3698903553
164	0.3698757504
165	0.3698644205
166	0.3698499109
167	0.3698282615
168	0.3698081117
169	0.3697877077
170	0.3697690174
171	0.3697536518
172	0.3697376245
173	0.3697201674
174	0.3696858519
175	0.3696755416
176	0.369660998
177	0.3696475802
178	0.3696244215
179	0.369607788
180	0.3695935978
181	0.3695757039
182	0.3695579831
183	0.369540805
184	0.369529966
185	0.3695070405
186	0.3694923774
187	0.3694775974
188	0.3694638975
189	0.3694506746
190	0.3694303691
191	0.3694153091
192	0.3693961314
193	0.3693788388
194	0.3693710212
195	0.369358054
196	0.3693401925
197	0.3693256205
198	0.3693128295
199	0.3692967042
200	0.3692752576
201	0.3692603489
202	0.3692475848
203	0.3692316297
204	0.3692121438
205	0.3691956311
206	0.3691770931
207	0.3691616207
208	0.3691491368
209	0.3691292066
210	0.3691179087
211	0.369103785
212	0.3690938603
213	0.3690760621
214	0.3690571072
215	0.3690374127
216	0.3690140031
217	0.3690050805
218	0.3689871194
219	0.3689673074
220	0.3689498926
221	0.3689379132
222	0.3689254906
223	0.3689043689
224	0.3688980204
225	0.3688868654
226	0.3688700844
227	0.3688491916
228	0.3688396289
229	0.3688215718
230	0.3688081645
231	0.3687920183
232	0.3687751307
233	0.3687553274
234	0.3687467158
235	0.3687368584
236	0.3687139362
237	0.368690282
238	0.3686776279
239	0.3686596161
240	0.3686452756
241	0.3686357874
242	0.3686156913
243	0.3685988185
244	0.3685841019
245	0.3685672229
246	0.3685483128
247	0.3685324105
248	0.36851757
249	0.3684967559
250	0.3684850987
251	0.3684641078
252	0.368448048
253	0.3684292503
254	0.3684137555
255	0.3684008612
256	0.3683679223
257	0.368359079
258	0.3683417414
259	0.3683216403
260	0.3683120985
261	0.3682880944
262	0.368276289
263	0.3682632709
264	0.3682503842
265	0.3682313552
266	0.3682163795
267	0.3682032511
268	0.3681923871
269	0.3681812505
270	0.3681704948
271	0.3681499671
272	0.3681341292
273	0.3681194063
274	0.3680999649
275	0.3680853507
276	0.3680560362
277	0.3680434901
278	0.3680246195
279	0.3680082432
280	0.3679844602
281	0.3679709082
282	0.3679570611
283	0.3679401218
284	0.367910359
285	0.3678908768
286	0.3678738928
287	0.3678627717
288	0.3678352965
289	0.3678157446
290	0.3678010495
291	0.3677845406
292	0.3677659392
293	0.3677469151
294	0.367722265
295	0.3677065754
296	0.3676959527
297	0.3676783152
298	0.367656595
299	0.3676412541
300	0.3676260441
301	0.3676154587
302	0.3676005264
