우편번호,우편번호순서,도이름,시군구이름,읍면동이름,리건물이름,동호,전체주소
706808,1,대구광역시,수성구,만촌3동,,848~859,대구광역시 수성구 만촌3동 848~859
706808,101,대구광역시,수성구,만촌3동,, 산80,대구광역시 수성구 만촌3동 산80
706808,91,대구광역시,수성구,만촌3동,, 산362~419,대구광역시 수성구 만촌3동 산362~419
706808,81,대구광역시,수성구,만촌3동,, 산307,대구광역시 수성구 만촌3동 산307
706808,31,대구광역시,수성구,만촌3동,,1039~1040,대구광역시 수성구 만촌3동 1039~1040
706809,21,대구광역시,수성구,만촌2동,,1026~1033,대구광역시 수성구 만촌2동 1026~1033
706809,31,대구광역시,수성구,만촌2동,,1035~1038,대구광역시 수성구 만촌2동 1035~1038
706809,51,대구광역시,수성구,만촌2동,,1041~1045,대구광역시 수성구 만촌2동 1041~1045
706809,61,대구광역시,수성구,만촌2동,,1063~1064,대구광역시 수성구 만촌2동 1063~1064
706809,11,대구광역시,수성구,만촌2동,,1009~1024,대구광역시 수성구 만촌2동 1009~1024
706809,41,대구광역시,수성구,만촌2동,, 산356,대구광역시 수성구 만촌2동 산356
706809,1,대구광역시,수성구,만촌2동,,904~962,대구광역시 수성구 만촌2동 904~962
706810,1,대구광역시,수성구,만촌2동,,963~977,대구광역시 수성구 만촌2동 963~977
706811,1,대구광역시,수성구,범물1동,,1~370,대구광역시 수성구 범물1동 1~370
706811,11,대구광역시,수성구,범물1동,,900~903,대구광역시 수성구 범물1동 900~903
706811,21,대구광역시,수성구,범물1동,,915~1270,대구광역시 수성구 범물1동 915~1270
706812,1,대구광역시,수성구,범물2동,,371~899,대구광역시 수성구 범물2동 371~899
706812,21,대구광역시,수성구,범물2동,,904~914,대구광역시 수성구 범물2동 904~914
706813,1,대구광역시,수성구,범물1동,,1271~1327,대구광역시 수성구 범물1동 1271~1327
706813,31,대구광역시,수성구,범물1동,, 산188~294,대구광역시 수성구 범물1동 산188~294
706813,41,대구광역시,수성구,범물1동,, 산295-1,대구광역시 수성구 범물1동 산295-1
706813,21,대구광역시,수성구,범물1동,, 산181~184,대구광역시 수성구 범물1동 산181~184
706813,11,대구광역시,수성구,범물1동,, 산1~179,대구광역시 수성구 범물1동 산1~179
706814,1,대구광역시,수성구,범물2동,,1328~1354,대구광역시 수성구 범물2동 1328~1354
706815,11,대구광역시,수성구,범물2동,, 산180,대구광역시 수성구 범물2동 산180
706815,31,대구광역시,수성구,범물2동,, 산295-2~362,대구광역시 수성구 범물2동 산295-2~362
706815,21,대구광역시,수성구,범물2동,, 산185~187,대구광역시 수성구 범물2동 산185~187
706815,1,대구광역시,수성구,범물2동,,1355~1396,대구광역시 수성구 범물2동 1355~1396
706816,1,대구광역시,수성구,범어3동,,1~14,대구광역시 수성구 범어3동 1~14
706816,11,대구광역시,수성구,범어3동,,470~499,대구광역시 수성구 범어3동 470~499
706817,21,대구광역시,수성구,범어3동,,545~546,대구광역시 수성구 범어3동 545~546
706817,41,대구광역시,수성구,범어3동,,831,대구광역시 수성구 범어3동 831
706817,61,대구광역시,수성구,범어3동,,880,대구광역시 수성구 범어3동 880
714841,11,경상북도,청도군,각북면,덕촌리,,경상북도 청도군 각북면 덕촌리
714841,1,경상북도,청도군,각북면,금천리,,경상북도 청도군 각북면 금천리
714842,21,경상북도,청도군,각북면,우산리,,경상북도 청도군 각북면 우산리
714842,1,경상북도,청도군,각북면,남산리,,경상북도 청도군 각북면 남산리
714843,1,경상북도,청도군,각북면,명대리,,경상북도 청도군 각북면 명대리
714850,1,경상북도,청도군,이서면,,,경상북도 청도군 이서면
714851,51,경상북도,청도군,이서면,칠엽리,,경상북도 청도군 이서면 칠엽리
714851,31,경상북도,청도군,이서면,대전리,,경상북도 청도군 이서면 대전리
