ep,lr,nodes,layers,act,corr,mse
5000,0.005,5,2,tanh,0.9218,0.006181
2000,0.01,64,1,sigmoid,0.9215,0.006218
5000,0.005,64,2,softplus,0.9236,0.006221
2000,0.01,32,2,softplus,0.9213,0.006222
2000,0.01,5,3,sigmoid,0.9215,0.006232
5000,0.005,32,1,relu,0.9224,0.006232
2000,0.01,64,2,sigmoid,0.9209,0.00625
2000,0.005,32,3,softplus,0.9208,0.006261
2000,0.005,64,3,softplus,0.9205,0.006278
5000,0.005,5,2,sigmoid,0.9203,0.006305
5000,0.005,5,3,softplus,0.9201,0.006322
5000,0.01,5,2,softplus,0.9203,0.006323
2000,0.01,5,2,tanh,0.9201,0.006326
5000,0.005,32,3,relu,0.922,0.006353
2000,0.01,32,1,softplus,0.9194,0.006385
2000,0.005,64,2,sigmoid,0.9184,0.006436
2000,0.01,5,1,tanh,0.9176,0.006508
2000,0.005,64,3,sigmoid,0.9317,0.006543
2000,0.01,64,1,softplus,0.9169,0.006552
5000,0.01,32,1,relu,0.9183,0.00656
5000,0.005,5,1,sigmoid,0.9167,0.00657
2000,0.005,64,1,sigmoid,0.9167,0.006577
5000,0.01,64,3,relu,0.9181,0.006583
2000,0.01,5,2,sigmoid,0.9159,0.006632
2000,0.005,5,2,tanh,0.9158,0.006657
2000,0.005,5,3,tanh,0.9162,0.006662
2000,0.01,5,2,softplus,0.9153,0.006684
5000,0.005,5,1,softplus,0.9152,0.006689
2000,0.01,32,1,sigmoid,0.915,0.00671
5000,0.01,5,3,softplus,0.9176,0.006723
2000,0.005,32,1,tanh,0.9141,0.006785
2000,0.005,32,2,sigmoid,0.9119,0.006945
2000,0.001,64,3,softplus,0.9106,0.007024
2000,0.005,5,2,softplus,0.9102,0.007065
2000,0.005,32,1,softplus,0.91,0.007072
2000,0.005,5,3,sigmoid,0.9095,0.007121
2000,0.01,5,3,softplus,0.9094,0.007122
2000,0.001,32,1,relu,0.9091,0.007145
5000,0.001,5,3,relu,0.9088,0.007172
2000,0.01,5,1,sigmoid,0.9082,0.007214
5000,0.001,5,1,relu,0.9077,0.007291
5000,0.001,5,2,tanh,0.9069,0.007301
2000,0.005,32,2,softplus,0.907,0.007305
2000,0.01,5,1,softplus,0.9065,0.007333
2000,0.005,5,1,tanh,0.906,0.007372
5000,0.001,32,3,softplus,0.906,0.007383
5000,0.01,5,2,relu,0.9044,0.007512
2000,0.001,64,2,sigmoid,0.9038,0.007547
2000,0.001,5,2,relu,0.9032,0.007582
2000,0.005,5,2,sigmoid,0.9024,0.007642
5000,0.001,32,1,tanh,0.9017,0.007709
5000,0.001,64,1,sigmoid,0.9016,0.007714
2000,0.001,5,3,tanh,0.9014,0.007718
5000,0.001,5,2,relu,0.9018,0.007746
2000,0.01,5,2,relu,0.9011,0.007762
2000,0.005,64,2,softplus,0.9013,0.007799
2000,0.005,32,1,sigmoid,0.8998,0.007851
2000,0.001,5,3,relu,0.8995,0.007864
2000,0.005,5,3,softplus,0.8993,0.007866
5000,0.001,5,1,tanh,0.8987,0.007912
5000,0.005,5,3,relu,0.8991,0.00796
2000,0.005,5,3,relu,0.8984,0.007998
2000,0.01,5,3,relu,0.8976,0.008044
2000,0.005,5,1,relu,0.8965,0.00808
5000,0.01,5,3,relu,0.8973,0.008096
5000,0.005,5,1,relu,0.8955,0.008158
5000,0.001,32,2,softplus,0.8937,0.008316
5000,0.001,32,1,softplus,0.891,0.008516
5000,0.001,5,2,softplus,0.89,0.008563
2000,0.005,64,1,softplus,0.89,0.008566
2000,0.005,5,2,relu,0.8883,0.008749
5000,0.001,32,1,sigmoid,0.8865,0.008835
2000,0.001,5,1,relu,0.8854,0.008922
2000,0.005,5,1,softplus,0.8849,0.008935
2000,0.005,5,1,sigmoid,0.8822,0.009137
2000,0.001,64,3,sigmoid,0.8811,0.009234
5000,0.001,64,1,softplus,0.8765,0.009569
5000,0.001,64,2,softplus,0.8763,0.009573
2000,0.001,64,1,tanh,0.8751,0.009651
