"Topic","RelativePath","Extension","SizeBytes"
"association_rules","from_colab\0605-s\online_retail_uci_torch_association_rules_colab_모범답안.ipynb",".ipynb","642216"
"association_rules","from_colab\0605-s\online+retail.zip",".zip","23715478"
"association_rules","from_colab\0605-s\shop_groceries.csv",".csv","510697"
"association_rules","from_colab\0605-s\torch_association_rules(실습포함)_모범답안.ipynb",".ipynb","615750"
"association_rules","from_colab\0605-s\torch_association_rules.ipynb",".ipynb","448665"
"association_rules","from_colab\0605-s\torch_association_rules-실습.ipynb",".ipynb","580394"
"association_rules","from_colab\0605-s\실습문제_7_모범답안_online_retail_uci_torch_association_rules_colab.ipynb",".ipynb","642216"
"association_rules","from_colab\0605-s\연관규칙분석_실습문제.txt",".txt","5113"
"breast_cancer","from_colab\0529-s\data\wisc_data.csv",".csv","125093"
"breast_cancer","from_colab\0529-s\pytorch_knn_breast_cancer.ipynb",".ipynb","128864"
"breast_cancer","from_colab\0604-s\pytorch_knn_breast_cancer.ipynb",".ipynb","131108"
"breast_cancer","from_colab\0604-s\pytorch_knn_breast_cancer-실습.ipynb",".ipynb","329737"
"breast_cancer","ml_data_preprocessing\from_colab\test2_breast_cancer.py",".py","3865"
"cifar10","from_colab_deep_learning\0610-s\cifar10_torch_detailed.ipynb",".ipynb","55691"
"cifar10","from_colab_deep_learning\0610-s\cifar10_torch_detailed_optimized_mlp.ipynb",".ipynb","18881"
"cifar10","from_colab_deep_learning\0611-s\cifar10_cnn_pytorch.ipynb",".ipynb","47387"
"cifar10","from_colab_deep_learning\0612-s\cifar10_cnn_adamw.pth",".pth","2493902"
"cifar10","from_colab_deep_learning\0612-s\cifar10_cnn_pytorch.ipynb",".ipynb","47387"
"cifar10","from_colab_deep_learning\0612-s\cifar10_cnn_pytorch_실습.txt",".txt","33414"
"cifar10","from_colab_deep_learning\0612-s\cifar10_cnn_tensorflow.ipynb",".ipynb","40535"
"cifar10","from_colab_deep_learning\0612-s\cifar-10-python.tar.gz",".gz","170498071"
"concrete","from_colab\0602-s\concrete_stg.csv",".csv","41415"
"dimensionality_reduction","from_colab\0604-s\dimensionality_reduction.ipynb",".ipynb","1301163"
"dimensionality_reduction","from_colab\0604-s\dimensionality_reduction_completed_모범답안.ipynb",".ipynb","1329270"
"dimensionality_reduction","from_colab\0604-s\dimensionality_reduction_practice.ipynb",".ipynb","1107374"
"dimensionality_reduction","from_colab\0604-s\dimensionality_reduction_practice_completed_모범답안.ipynb",".ipynb","1124612"
"dimensionality_reduction","from_colab\0604-s\dimensionality_reduction_practice-실습.ipynb",".ipynb","2951111"
"dimensionality_reduction","from_colab\0604-s\dimensionality_reduction-실습.ipynb",".ipynb","3264413"
"heart","from_colab_deep_learning\0608-s\day1_heart_실습_모범답안.pdf",".pdf","847280"
"heart","from_colab_deep_learning\0608-s\heart.csv",".csv","11328"
"heart","from_colab_deep_learning\0608-s\heart_pytorch_dnn.ipynb",".ipynb","273404"
"heart","from_colab_deep_learning\0608-s\heart_pytorch_dnn_실습_완.ipynb",".ipynb","237621"
"heart","from_colab_deep_learning\0608-s\heart_pytorch_dnn_실습1.ipynb",".ipynb","538506"
"heart","from_colab_deep_learning\0608-s\heart_pytorch_dnn_실습문제.txt",".txt","48912"
"heart","from_colab_deep_learning\0608-s\heart_pytorch_dnn_실습문제2.txt",".txt","3046"
"housing","from_colab_deep_learning\0608-s\day1_housing_실습_모범답안.pdf",".pdf","815523"
