"DuplicateType","GroupHash","Name","RelativePath","SizeBytes"
"exact_hash","0D19CB42AA700DC2C30AEB43624920190AE44A0228F1321CCB812D926ECE4CB4","국가데이터처_나라통계_우편번호_20211110.csv","from_colab\0529-s\content\data\국가데이터처_나라통계_우편번호_20211110.csv","4266473"
"exact_hash","0D19CB42AA700DC2C30AEB43624920190AE44A0228F1321CCB812D926ECE4CB4","국가데이터처_나라통계_우편번호_20211110.csv","from_colab\0529-s\국가데이터처_나라통계_우편번호_20211110.csv","4266473"
"exact_hash","91562238822263A9E438D65A16FD832EB4CC4C4FEC5017C4BCEE9F0B1B6839AC","ML_sample.ipynb","from_colab\0527\ML_sample.ipynb","512724"
"exact_hash","91562238822263A9E438D65A16FD832EB4CC4C4FEC5017C4BCEE9F0B1B6839AC","ML_sample.ipynb","ml_data_preprocessing\from_colab\ML_sample.ipynb","512724"
"exact_hash","DCA829FA2955396EBF0120DD95F9F72BAF62383D04BB2686C671D31E98162F5D","online_retail_uci_torch_association_rules_colab_모범답안.ipynb","from_colab\0605-s\online_retail_uci_torch_association_rules_colab_모범답안.ipynb","642216"
"exact_hash","DCA829FA2955396EBF0120DD95F9F72BAF62383D04BB2686C671D31E98162F5D","실습문제_7_모범답안_online_retail_uci_torch_association_rules_colab.ipynb","from_colab\0605-s\실습문제_7_모범답안_online_retail_uci_torch_association_rules_colab.ipynb","642216"
"exact_hash","F4A5B7563222A62E43963641581531720DD788313C9121710FA9CF3732699BE3","cifar10_cnn_pytorch.ipynb","from_colab_deep_learning\0611-s\cifar10_cnn_pytorch.ipynb","47387"
"exact_hash","F4A5B7563222A62E43963641581531720DD788313C9121710FA9CF3732699BE3","cifar10_cnn_pytorch.ipynb","from_colab_deep_learning\0612-s\cifar10_cnn_pytorch.ipynb","47387"
